Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Min projectiles,Max projectiles,Civilian Casualties,Fatalities ,Woman fatalities,Child fatalities,Injured ,Woman injured,Child injured, Confirmed Time,Time of Day
154,10/04/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,3,0,0,0,0,0,0,0,20,Evening
155,14/04/2024,Taiz,,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,23,Night
156,14/04/2024,Taiz,,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,23,Night
157,14/04/2024,,,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,Unknown,Unknown
158,16/04/2024,Hudaydah,Bajil,,Unknown,Unknown,Unknown - Non-frontline area,1,2,0,0,0,0,0,0,0,18,Evening
159,25/04/2024,,,,Pro-Houthi Drone Boat,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
160,25/04/2024,,,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
161,30/04/2024,Hudaydah,Al-Salif,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,20,Evening
162,02/05/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,5,0,0,0,0,0,0,0,14,Midday
163,13/05/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,1,0,0,0,0,0,0,0,15,Afternoon
164,14/05/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,4,0,0,0,0,0,0,0,21,Evening
165,22/05/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,6,0,0,0,0,0,0,0,15,Afternoon
166,23/05/2024,Hudaydah,Al-Hawak,,Al-Hudaydah Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,20,Evening
167,28/05/2024,Hudaydah,Bajil,Al-Jabanah,Unknown,Unknown,Unknown - Non-frontline area,1,2,0,0,0,0,0,0,0,20,Evening
168,30/05/2024,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,1,3,0,0,0,0,0,0,0,23,Night
169,30/05/2024,Capital,Bani Al-Harith,Al-Rahabah,Pro-Houthi Position,Military_Security_Target,Forces,1,1,0,0,0,0,0,0,0,23,Night
170,30/05/2024,Hudaydah,Al-Salif,Al-Salif seaport,Coast Guard Site,Military_Security_Target,Military Site,1,1,39,14,0,0,25,0,0,24,Night
171,30/05/2024,Hudaydah,Al-Hawak,,House belonging to former president Ali Saleh,Political_Tribal,Figure,1,1,0,0,0,0,0,0,0,24,Night
172,30/05/2024,Taiz,Hayfan,Al-Abus,Telecommunications Network,Infrastructure,Communication,1,1,0,0,0,0,0,0,0,24,Night
173,30/05/2024,Hudaydah,Al-Durayhimi,Ghulayfiqah,Ghulayfiqah Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,24,Night
174,30/05/2024,Hudaydah,Al-Hawak,,Radio Broadcast Building,Media,Radio station,1,1,12,2,0,0,10,0,0,24,Night
175,30/05/2024,Sanaa,Sanhan,Jarban,Pro-Houthi Position,Military_Security_Target,Forces,1,2,0,0,0,0,0,0,0,23,Night
176,30/05/2024,Hudaydah,Al-Hawak,,House belonging to former Vice President Ali Mohsen Al-Ahamar,Political_Tribal,Figure,1,1,0,0,0,0,0,0,0,24,Night
177,06/06/2024,Hudaydah,Al-Luhaiyah,,Unknown,Unknown,Unknown - Non-frontline area,1,1,0,0,0,0,0,0,0,16,Afternoon
178,06/06/2024,Hudaydah,Al-Luhaiyah,Al-Khawbah,Unknown,Unknown,Unknown - Non-frontline area,1,1,0,0,0,0,0,0,0,16,Afternoon
179,07/06/2024,Hudaydah,Al-Salif,Al-Salif seaport,Fishing boats,Economic_infrastructure,Boat,1,1,0,0,0,0,0,0,0,14,Midday
180,07/06/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,4,0,0,0,0,0,0,0,14,Midday
181,07/06/2024,Capital,Al-Thawrah,Al-Nahdhah,Maintenance Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,17,Afternoon
182,09/06/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,14,Midday
183,09/06/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Missile Launcher,Military_Security_Target,Moving Target (weapons/fighters),1,1,0,0,0,0,0,0,0,14,Midday
184,10/06/2024,Hudaydah,Al-Tuhayat,Al-Fazah,Unknown,Unknown,Unknown - Frontline area,1,1,0,0,0,0,0,0,0,20,Evening
185,11/06/2024,Hudaydah,Al-Salif,,Pro-Houthi Missile Launcher,Military_Security_Target,Moving Target (weapons/fighters),1,3,0,0,0,0,0,0,0,21,Evening
186,12/06/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Missile Launcher,Military_Security_Target,Moving Target (weapons/fighters),1,1,0,0,0,0,0,0,0,18,Evening
187,12/06/2024,Hudaydah,Al-Tuhayat,,Pro-Houthi Missile Launcher,Military_Security_Target,Moving Target (weapons/fighters),1,2,0,0,0,0,0,0,0,21,Evening
188,12/06/2024,Raymah,Al-Jubain,,Governmental Compound,Infrastructure,Gov. Compounds,1,1,0,0,0,0,0,0,0,24,Night
189,12/06/2024,Raymah,Al-Jubain,,Radio Broadcast Building,Media,Radio station,1,1,11,2,0,0,9,0,0,24,Night
190,13/06/2024,Hudaydah,Al-Salif,,Unknown,Unknown,Unknown - Non-frontline area,1,3,0,0,0,0,0,0,0,15,Afternoon
191,17/06/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,6,0,0,0,0,0,0,0,19,Evening
192,17/06/2024,Hudaydah,Kamaran,,Pro-Houthi Drone Boat,Military_Security_Target,Other-Military,1,4,0,0,0,0,0,0,0,18,Evening
193,18/06/2024,,,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,Unknown,Unknown
194,19/06/2024,Hudaydah,Al-Durayhimi,Al-Taif,Pro-Houthi Position,Military_Security_Target,Forces,1,3,0,0,0,0,0,0,0,15,Afternoon
195,19/06/2024,Raymah,Al-Jubain,,Radio Broadcast Building,Media,Radio station,1,5,0,0,0,0,0,0,0,20,Evening
196,20/06/2024,Hudaydah,Al-Salif,,Pro-Houthi Weapons Storage Unit,Military_Security_Target,Weapon Storage,1,1,0,0,0,0,0,0,0,15,Afternoon
197,22/06/2024,Hudaydah,Al-Luhaiyah,,Unknown,Unknown,Unknown - Non-frontline area,1,4,0,0,0,0,0,0,0,15,Afternoon
198,26/06/2024,,,,Pro-Houthi Radar,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
199,28/06/2024,Taiz,Mawiyah,Al-Zahrah,Pro-Houthi Ground Control Station Vehicle,Military_Security_Target,Moving Target (weapons/fighters),1,2,0,0,0,0,0,0,0,1,Early-Morning
200,28/06/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,4,0,0,0,0,0,0,0,17,Afternoon
201,28/06/2024,Taiz,Mawiyah,Al-Zahrah,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,1,Early-Morning
202,29/06/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,1,0,0,0,0,0,0,0,18,Evening
203,01/07/2024,,,,Pro-Houthi Radar,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
204,03/07/2024,,,,Pro-Houthi Radar,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
205,04/07/2024,Hajja,Midi,Buhyas,Pro-Houthi Radar,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,19,Evening
206,04/07/2024,Hudaydah,Al-Luhaiyah,,Unknown,Unknown,Unknown - Non-frontline area,1,2,0,0,0,0,0,0,0,22,Night
207,04/07/2024,Hudaydah,Bayt Al-Faqih,Al-Jah,Unknown,Unknown,Unknown - Non-frontline area,1,1,0,0,0,0,0,0,0,22,Night
208,06/07/2024,Hudaydah,Kamaran,,Unknown,Unknown,Unknown - Non-frontline area,1,1,0,0,0,0,0,0,0,15,Afternoon
209,07/07/2024,,,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,Unknown,Unknown
210,09/07/2024,,,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
211,11/07/2024,Hudaydah,Al-Salif,Ras Issa,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,5,0,0,0,0,0,0,0,17,Afternoon
212,12/07/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,3,0,0,0,0,0,0,0,12,Midday
213,14/07/2024,Hudaydah,Al-Luhaiyah,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,19,Evening
214,14/07/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,19,Evening
215,14/07/2024,Hajja,Midi,Buhyas,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,14,Midday
216,15/07/2024,,,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,Unknown,Unknown
217,18/07/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,3,0,0,0,0,0,0,0,1,Early-Morning
220,21/07/2024,Hajja,Midi,,Unknown,Unknown,Unknown - Frontline area,1,2,0,0,0,0,0,0,0,16,Afternoon
221,21/07/2024,Hudaydah,Al-Salif,Ras Issa,Unknown,Unknown,Unknown - Non-frontline area,1,4,0,0,0,0,0,0,0,17,Afternoon
222,23/07/2024,,,,Pro-Houthi Missile Launcher,Military_Security_Target,Moving Target (weapons/fighters),1,2,0,0,0,0,0,0,0,Unknown,Unknown
223,24/07/2024,,,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,Unknown,Unknown
224,25/07/2024,,,,Pro-Houthi Drone Launcher,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
225,26/07/2024,Hudaydah,Kamaran,,Pro-Houthi Drone Boat,Military_Security_Target,Other-Military,1,4,0,0,0,0,0,0,0,18,Evening
226,26/07/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,4,0,0,0,0,0,0,0,22,Night
227,29/07/2024,,,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
228,03/08/2024,,,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
229,03/08/2024,,,,Pro-Houthi Missile Launcher,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
230,07/08/2024,Taiz,Dimnat Khadir,Al-Rahidah,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,1,Early-Morning
231,07/08/2024,Taiz,Dimnat Khadir,Al-Rahidah,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,1,Early-Morning
